NAME,B19013_001E,B19083_001E,B19113_001E,state,county,Poverty_Rate
"Brazoria County, Texas",81447.0,0.4216,94650.0,48,039,8.405581725477367
"Donley County, Texas",42961.0,0.4584,53125.0,48,129,13.375224416517057
"Atascosa County, Texas",55366.0,0.4324,60968.0,48,013,14.529155225327086
"Nolan County, Texas",45537.0,0.4788,57713.0,48,353,15.827965646806227
"Hudspeth County, Texas",31677.0,0.4844,32012.0,48,229,20.067950169875427
"Ward County, Texas",62986.0,0.4127,68491.0,48,475,12.40349974266598
"Harrison County, Texas",52220.0,0.4785,65116.0,48,203,16.957044157404628
"Menard County, Texas",36395.0,0.4737,53817.0,48,327,13.025011798017932
"Fayette County, Texas",60189.0,0.4481,72565.0,48,149,11.650292351139573
"Williamson County, Texas",87337.0,0.3938,100844.0,48,491,6.358244278712354
"Hutchinson County, Texas",52524.0,0.431,63245.0,48,233,14.444340329835082
"Morris County, Texas",41359.0,0.4449,52799.0,48,343,17.53818798997818
"Orange County, Texas",59399.0,0.434,73788.0,48,361,13.118985595165874
"Winkler County, Texas",60366.0,0.4091,62958.0,48,495,14.834117198423796
"Harris County, Texas",61705.0,0.4971,71258.0,48,201,15.555187307790808
"Burnet County, Texas",59492.0,0.4426,70806.0,48,053,10.01719320868257
"Gillespie County, Texas",59155.0,0.4641,73481.0,48,171,9.357874447258022
"Dallas County, Texas",59607.0,0.4982,67159.0,48,113,15.183430844983329
"McMullen County, Texas",62000.0,0.4968,65750.0,48,311,11.757105943152455
"Young County, Texas",50635.0,0.4402,66381.0,48,503,12.103570636504768
"Johnson County, Texas",64359.0,0.4098,74007.0,48,251,10.046527761165466
"Hopkins County, Texas",52078.0,0.4474,63125.0,48,223,13.777887408869155
"Ochiltree County, Texas",50464.0,0.4268,60600.0,48,357,15.023196130687989
"Knox County, Texas",48798.0,0.4287,62353.0,48,275,14.439946018893387
"McLennan County, Texas",49778.0,0.4732,62727.0,48,309,18.40263810839981
"Concho County, Texas",47500.0,0.466,64025.0,48,095,8.205756276791181
"Edwards County, Texas",40766.0,0.4648,55250.0,48,137,8.602711157455683
"Eastland County, Texas",37276.0,0.5381,49944.0,48,133,17.337054670825808
"Jeff Davis County, Texas",53088.0,0.3305,61230.0,48,243,3.792949576082106
"Jim Hogg County, Texas",33382.0,0.4708,43977.0,48,247,30.12808258459186
"Montgomery County, Texas",80902.0,0.4761,95962.0,48,339,9.194700926131526
"Dimmit County, Texas",27161.0,0.4783,31373.0,48,127,33.31097911477294
"Webb County, Texas",46475.0,0.4794,49968.0,48,479,27.150618222764926
"Armstrong County, Texas",72500.0,0.3981,79479.0,48,011,8.819057273188038
"Castro County, Texas",50142.0,0.4083,61304.0,48,069,13.52795516747035
"Kleberg County, Texas",43730.0,0.4861,52327.0,48,273,25.51817653515852
"Cooke County, Texas",60202.0,0.436,73036.0,48,097,12.547139182338105
"Crosby County, Texas",40759.0,0.4343,50797.0,48,107,20.373543522960933
"Fisher County, Texas",46146.0,0.4848,62000.0,48,151,14.911825726141078
"Duval County, Texas",41186.0,0.435,51929.0,48,131,21.529996450124244
"Blanco County, Texas",66390.0,0.4697,70767.0,48,031,8.84300400766684
"Jasper County, Texas",44370.0,0.4717,59031.0,48,241,17.94344617811074
"Jefferson County, Texas",51248.0,0.4776,62912.0,48,245,16.492883541715813
"Kinney County, Texas",26738.0,0.4762,53452.0,48,271,18.22902432358568
"Oldham County, Texas",64545.0,0.439,74922.0,48,359,7.25883476599809
"Lamb County, Texas",45111.0,0.4453,57060.0,48,279,18.692372170997483
"Lipscomb County, Texas",59091.0,0.4363,66750.0,48,295,12.5956444967628
"McCulloch County, Texas",47707.0,0.4423,59009.0,48,307,16.457738612386745
"Mason County, Texas",42276.0,0.5095,62532.0,48,319,10.67845198279981
"Dickens County, Texas",42540.0,0.5147,60625.0,48,125,18.61098502042669
"Lee County, Texas",54744.0,0.4459,63836.0,48,287,11.959198030249736
"Tarrant County, Texas",67700.0,0.4586,79859.0,48,439,11.791713216604789
"Anderson County, Texas",43455.0,0.4299,53519.0,48,001,11.413250302715792
"Ellis County, Texas",76871.0,0.4176,86150.0,48,139,8.646962686738945
"Jackson County, Texas",62806.0,0.4191,73625.0,48,239,13.107451403887687
"Kerr County, Texas",55990.0,0.4698,66006.0,48,265,11.341936230542213
"Milam County, Texas",47902.0,0.4624,60348.0,48,331,15.115058538554704
"Comanche County, Texas",53516.0,0.4129,60879.0,48,093,10.97642102150935
"Falls County, Texas",39497.0,0.4705,51699.0,48,145,23.813107920333486
"Brooks County, Texas",28333.0,0.4985,31385.0,48,047,38.145917938664056
"Austin County, Texas",66206.0,0.4146,78195.0,48,015,12.038032522510415
"Kenedy County, Texas",38021.0,0.3216,40688.0,48,261,5.457746478873239
"Colorado County, Texas",52559.0,0.4721,62905.0,48,089,9.80022615906521
"San Patricio County, Texas",56556.0,0.4544,63337.0,48,409,15.69364851957975
"Randall County, Texas",68261.0,0.4263,84353.0,48,381,8.284959634697746
"San Saba County, Texas",45083.0,0.4742,58582.0,48,411,12.385244533466867
"Schleicher County, Texas",53229.0,0.414,66975.0,48,413,15.65538048944016
"Zavala County, Texas",34459.0,0.4146,36275.0,48,507,33.31672065786195
"Calhoun County, Texas",58776.0,0.4164,70735.0,48,057,13.48993908067196
"Foard County, Texas",43625.0,0.4655,52717.0,48,155,10.117647058823529
"Goliad County, Texas",60690.0,0.4791,80625.0,48,175,12.954395241242564
"Hamilton County, Texas",50825.0,0.4646,66118.0,48,193,16.82669227076332
"Mitchell County, Texas",51492.0,0.4497,78283.0,48,335,8.353866009621026
"Titus County, Texas",50196.0,0.4182,54719.0,48,449,17.463235294117645
"Lavaca County, Texas",54403.0,0.4715,69898.0,48,285,10.404075720493482
