CAMPUS,CAMPNAME,CNTYNAME,COUNTY,DISTNAME,DISTRICT,REGION
'011904002,SMITHVILLE H S,BASTROP,'011,SMITHVILLE ISD,'011904,'13
'011904041,SMITHVILLE J H,BASTROP,'011,SMITHVILLE ISD,'011904,'13
'011904101,SMITHVILLE EL,BASTROP,'011,SMITHVILLE ISD,'011904,'13
'011904102,BROWN PRI,BASTROP,'011,SMITHVILLE ISD,'011904,'13
'011905001,MCDADE H S,BASTROP,'011,MCDADE ISD,'011905,'13
'011905101,MCDADE EL,BASTROP,'011,MCDADE ISD,'011905,'13
'012901001,SEYMOUR H S,BAYLOR,'012,SEYMOUR ISD,'012901,'09
'012901042,SEYMOUR MIDDLE,BAYLOR,'012,SEYMOUR ISD,'012901,'09
'012901101,SEYMOUR EL,BAYLOR,'012,SEYMOUR ISD,'012901,'09
'013801101,ST MARY'S ACADEMY CHARTER SCHOOL,BEE,'013,ST MARY'S ACADEMY CHARTER SCHOOL,'013801,'02
'013901001,A C JONES H S,BEE,'013,BEEVILLE ISD,'013901,'02
'013901004,A C JONES HEALTH PROFESSIONS MAGNE,BEE,'013,BEEVILLE ISD,'013901,'02
'013901041,MORENO J H,BEE,'013,BEEVILLE ISD,'013901,'02
'013901042,THE JOE BARNHART ACADEMY,BEE,'013,BEEVILLE ISD,'013901,'02
'013901101,R A HALL EL,BEE,'013,BEEVILLE ISD,'013901,'02
'013901102,FADDEN-MCKEOWN-CHAMBLISS EL,BEE,'013,BEEVILLE ISD,'013901,'02
'013901105,HAMPTON-MORENO-DUGAT EARLY CHILDHO,BEE,'013,BEEVILLE ISD,'013901,'02
'013902101,PAWNEE EL / J H,BEE,'013,PAWNEE ISD,'013902,'02
'013903001,PETTUS SECONDARY,BEE,'013,PETTUS ISD,'013903,'02
'013903101,PETTUS EL,BEE,'013,PETTUS ISD,'013903,'02
'013905001,SKIDMORE-TYNAN H S,BEE,'013,SKIDMORE-TYNAN ISD,'013905,'02
'013905041,SKIDMORE-TYNAN J H,BEE,'013,SKIDMORE-TYNAN ISD,'013905,'02
'013905101,SKIDMORE-TYNAN EL,BEE,'013,SKIDMORE-TYNAN ISD,'013905,'02
'014801001,RICHARD MILBURN ALTER H S (KILLEEN,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801002,RICHARD MILBURN ACADEMY ODESSA,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801004,RICHARD MILBURN ACADEMY LUBBOCK,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801005,RICHARD MILBURN ACADEMY HOUSTON (S,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801006,RICHARD MILBURN ACADEMY FORT WORTH,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801007,RICHARD MILBURN ACADEMY CORPUS CHR,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801008,RICHARD MILBURN ACADEMY AMARILLO,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801009,RICHARD MILBURN ACADEMY PASADENA,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014801010,RICHARD MILBURN ACADEMY MIDLAND SO,BELL,'014,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'20
'014803002,GEORGETOWN CHARTER ACADEMY,BELL,'014,PRIORITY CHARTER SCHOOLS,'014803,'12
'014803003,COVE CHARTER ACADEMY,BELL,'014,PRIORITY CHARTER SCHOOLS,'014803,'12
'014803004,CEDAR PARK CHARTER ACADEMY,BELL,'014,PRIORITY CHARTER SCHOOLS,'014803,'12
'014803101,TEMPLE CHARTER ACADEMY,BELL,'014,PRIORITY CHARTER SCHOOLS,'014803,'12
'014804002,NEW HORIZONS,BELL,'014,ORENDA CHARTER SCHOOL,'014804,'12
'014804005,GATEWAY TECH H S,BELL,'014,ORENDA CHARTER SCHOOL,'014804,'12
'014804006,GATEWAY COLLEGE PREPARATORY SCHOOL,BELL,'014,ORENDA CHARTER SCHOOL,'014804,'12
'014804007,NOLAN CREEK SCHOOL,BELL,'014,ORENDA CHARTER SCHOOL,'014804,'12
'014804008,KINGSLAND SCHOOL,BELL,'014,ORENDA CHARTER SCHOOL,'014804,'12
'014901001,ACADEMY H S,BELL,'014,ACADEMY ISD,'014901,'12
'014901041,ACADEMY J H,BELL,'014,ACADEMY ISD,'014901,'12
'014901101,ACADEMY INT,BELL,'014,ACADEMY ISD,'014901,'12
'014901102,ACADEMY EL,BELL,'014,ACADEMY ISD,'014901,'12
'014902001,BARTLETT SCHOOLS,BELL,'014,BARTLETT ISD,'014902,'13
'014903001,BELTON H S,BELL,'014,BELTON ISD,'014903,'12
'014903005,BELTON NEW TECH H S AT WASKOW,BELL,'014,BELTON ISD,'014903,'12
'014903043,LAKE BELTON MIDDLE,BELL,'014,BELTON ISD,'014903,'12
'014903044,SOUTH BELTON MIDDLE,BELL,'014,BELTON ISD,'014903,'12
'014903045,NORTH BELTON MIDDLE,BELL,'014,BELTON ISD,'014903,'12
'014903102,LEON HEIGHTS EL,BELL,'014,BELTON ISD,'014903,'12
'014903103,MILLER HEIGHTS EL,BELL,'014,BELTON ISD,'014903,'12
'014903104,SOUTHWEST EL,BELL,'014,BELTON ISD,'014903,'12
'014903108,LAKEWOOD EL,BELL,'014,BELTON ISD,'014903,'12
'014903109,SPARTA EL,BELL,'014,BELTON ISD,'014903,'12
'014903111,JOE M PIRTLE EL,BELL,'014,BELTON ISD,'014903,'12
'014903116,TARVER EL,BELL,'014,BELTON ISD,'014903,'12
'014903117,HIGH POINT EL,BELL,'014,BELTON ISD,'014903,'12
'014903118,CHISHOLM TRAIL EL,BELL,'014,BELTON ISD,'014903,'12
'014903119,BELTON EARLY CHILDHOOD SCHOOL,BELL,'014,BELTON ISD,'014903,'12
'014905001,HOLLAND H S,BELL,'014,HOLLAND ISD,'014905,'12
'014905041,HOLLAND MIDDLE,BELL,'014,HOLLAND ISD,'014905,'12
'014905101,HOLLAND EL,BELL,'014,HOLLAND ISD,'014905,'12
'014906001,KILLEEN H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906002,C E ELLISON H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906004,GATEWAY H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906006,PATHWAYS ACADEMIC CAMPUS,BELL,'014,KILLEEN ISD,'014906,'12
'014906007,HARKER HEIGHTS H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906008,ROBERT M SHOEMAKER H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906009,GATEWAY MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906013,KILLEEN ISD EARLY COLLEGE H S,BELL,'014,KILLEEN ISD,'014906,'12
'014906022,METROPLEX SCHOOL,BELL,'014,KILLEEN ISD,'014906,'12
'014906026,KILLEEN JJAEP,BELL,'014,KILLEEN ISD,'014906,'12
'014906042,NOLAN MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906043,RANCIER MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906044,MANOR MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906046,EASTERN HILLS MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906048,PALO ALTO MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906049,LIBERTY HILL MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906050,LIVE OAK RIDGE MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906051,UNION GROVE MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906052,AUDIE MURPHY MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906053,CHARLES E PATTERSON MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906054,ROY J SMITH MIDDLE,BELL,'014,KILLEEN ISD,'014906,'12
'014906100,EL ALTER LEARNING CENTER,BELL,'014,KILLEEN ISD,'014906,'12
'014906102,CLIFTON PARK EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906103,EAST WARD EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906105,HARKER HEIGHTS EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906108,MEADOWS EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906109,PEEBLES EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906110,PERSHING PARK EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906111,SUGAR LOAF EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906112,WEST WARD EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906113,BELLAIRE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906115,NOLANVILLE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906116,CLARKE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906119,HAY BRANCH EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906120,WILLOW SPRINGS EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906121,MOUNTAIN VIEW EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906122,REECES CREEK EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906123,CLEAR CREEK EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906124,CEDAR VALLEY EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906125,BROOKHAVEN EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906126,VENABLE VILLAGE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906127,TRIMMIER EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906128,MONTAGUE VILLAGE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906129,MAXDALE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906130,IRA CROSS JR EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906131,IDUMA EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906132,OVETA CULP HOBBY EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906133,TIMBER RIDGE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906135,SAEGERT EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906136,SKIPCHA EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906137,RICHARD E CAVAZOS EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906138,HAYNES EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906139,DR JOSEPH A FOWLER EL,BELL,'014,KILLEEN ISD,'014906,'12
'014906140,ALICE W DOUSE EL,BELL,'014,KILLEEN ISD,'014906,'12
'014907001,ROGERS H S,BELL,'014,ROGERS ISD,'014907,'12
'014907041,ROGERS MIDDLE,BELL,'014,ROGERS ISD,'014907,'12
'014907043,BELL COUNTY DAEP,BELL,'014,ROGERS ISD,'014907,'12
'014907102,ROGERS EL,BELL,'014,ROGERS ISD,'014907,'12
'014908001,SALADO H S,BELL,'014,SALADO ISD,'014908,'12
'014908005,BELL COUNTY DAEP,BELL,'014,SALADO ISD,'014908,'12
'014908042,SALADO J H,BELL,'014,SALADO ISD,'014908,'12
'014908102,THOMAS ARNOLD EL,BELL,'014,SALADO ISD,'014908,'12
'014909002,TEMPLE H S,BELL,'014,TEMPLE ISD,'014909,'12
'014909005,WHEATLEY ALTERNATIVE EDUCATION CEN,BELL,'014,TEMPLE ISD,'014909,'12
'014909008,FRED W EDWARDS ACADEMY AEC,BELL,'014,TEMPLE ISD,'014909,'12
'014909041,LAMAR MIDDLE,BELL,'014,TEMPLE ISD,'014909,'12
'014909042,TRAVIS SCIENCE ACADEMY,BELL,'014,TEMPLE ISD,'014909,'12
'014909044,BONHAM MIDDLE,BELL,'014,TEMPLE ISD,'014909,'12
'014909101,MERIDITH-DUNBAR EARLY CHILDHOOD AC,BELL,'014,TEMPLE ISD,'014909,'12
'014909102,CATER EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909107,JEFFERSON EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909110,SCOTT EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909111,THORNTON EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909114,WESTERN HILLS EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909116,RAYE-ALLEN EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909117,KENNEDY-POWELL EL,BELL,'014,TEMPLE ISD,'014909,'12
'014909118,HECTOR P GARCIA EL,BELL,'014,TEMPLE ISD,'014909,'12
'014910001,TROY H S,BELL,'014,TROY ISD,'014910,'12
'014910041,RAYMOND MAYS MIDDLE,BELL,'014,TROY ISD,'014910,'12
'014910101,TROY EL,BELL,'014,TROY ISD,'014910,'12
'014910103,EDNA BIGHAM MAYS EL,BELL,'014,TROY ISD,'014910,'12
'015801001,POR VIDA ACADEMY CHARTER H S,BEXAR,'015,POR VIDA ACADEMY,'015801,'20
'015801002,CORPUS CHRISTI COLLEGE PREP H S,BEXAR,'015,POR VIDA ACADEMY,'015801,'20
'015801003,CESAR E CHAVEZ ACADEMY,BEXAR,'015,POR VIDA ACADEMY,'015801,'20
'015802001,GEORGE GERVIN ACADEMY,BEXAR,'015,GEORGE GERVIN ACADEMY,'015802,'20
'015802004,RUTH JONES MCCLENDON MIDDLE,BEXAR,'015,GEORGE GERVIN ACADEMY,'015802,'20
'015805001,FRANK L MADLA EARLY COLLEGE H S,BEXAR,'015,NEW FRONTIERS PUBLIC SCHOOLS INC,'015805,'20
'015805041,FRANK L MADLA ACCELERATED COLLEGIA,BEXAR,'015,NEW FRONTIERS PUBLIC SCHOOLS INC,'015805,'20
'015806003,MILTON B LEE ACADEMY OF SCIENCE &,BEXAR,'015,SCHOOL OF EXCELLENCE IN EDUCATION,'015806,'20
'015806041,DR PAUL S SAENZ J H,BEXAR,'015,SCHOOL OF EXCELLENCE IN EDUCATION,'015806,'20
