CAMPUS,CD000AA11219R,CD000ABI1219R,CD000AR11219R,CD000AUS1219R,CD200AA11219R,CD200ABI1219R,CD200AR11219R,CD200AUS1219R,CD300AA11219R,CD300ABI1219R,CD300AR11219R,CD300AUS1219R,CD400AA11219R,CD400ABI1219R,CD400AR11219R,CD400AUS1219R,CDA00AA11219R,CDA00ABI1219R,CDA00AR11219R,CDA00AUS1219R,CDB00AA11219R,CDB00ABI1219R,CDB00AR11219R,CDB00AUS1219R,CDE00AA11219R,CDE00ABI1219R,CDE00AR11219R,CDE00AUS1219R,CDF00AA11219R,CDF00ABI1219R,CDF00AR11219R,CDF00AUS1219R,CDH00AA11219R,CDH00ABI1219R,CDH00AR11219R,CDH00AUS1219R,CDI00AA11219R,CDI00ABI1219R,CDI00AR11219R,CDI00AUS1219R,CDL00AA11219R,CDL00ABI1219R,CDL00AR11219R,CDL00AUS1219R,CDM00AA11219R,CDM00ABI1219R,CDM00AR11219R,CDM00AUS1219R,CDR00AA11219R,CDR00ABI1219R,CDR00AR11219R,CDR00AUS1219R,CDS00AA11219R,CDS00ABI1219R,CDS00AR11219R,CDS00AUS1219R,CDW00AA11219R,CDW00ABI1219R,CDW00AR11219R,CDW00AUS1219R,CNC00AA11219R,CNC00ABI1219R,CNC00AR11219R,CNC00AUS1219R,CNM00AA11219R,CNM00ABI1219R,CNM00AR11219R,CNM00AUS1219R,CNS00AA11219R,CNS00ABI1219R,CNS00AR11219R,CNS00AUS1219R
'074912041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'074912101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'074917001,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,59,73,54,84,.,.,.,.,43,69,38,91,60,73,63,76,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,59,72,43,93,25,22,19,67,20,-1,20,-1,59,79,54,81,65,73,58,86,44,71,47,80,.,-1,-1,.
'074917101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'075901001,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,96,88,88,89,-1,-1,-1,-1,100,80,83,83,97,91,87,94,100,85,90,82,.,.,.,.,.,-1,-1,-1,95,84,88,84,86,50,62,63,-1,40,60,-1,90,90,84,100,97,90,93,88,90,78,71,91,.,.,.,.
'075901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'075901103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'075902001,55,13,19,36,-1,-1,20,.,.,.,.,.,.,.,.,.,54,58,48,85,31,21,25,82,51,40,41,75,65,63,53,82,57,40,39,72,.,-1,-1,.,50,6,9,0,48,53,43,89,38,18,20,51,33,10,14,36,60,80,63,94,55,55,46,85,53,67,52,83,-1,-1,-1,.
'075902041,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,87,.,.,.,-1,.,.,.,88,.,.,.,88,.,.,.,83,.,.,.,.,.,.,.,.,.,.,.,87,.,.,.,83,.,.,.,.,.,.,.,90,.,.,.,95,.,.,.,69,.,.,.,-1,.,.,.
'075902102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'075903001,20,-1,20,.,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,45,64,50,71,7,22,6,56,39,35,26,50,52,58,49,71,52,55,45,71,-1,-1,-1,.,.,.,.,.,39,71,51,72,17,35,16,27,11,17,17,0,58,81,75,77,50,59,43,66,32,77,62,83,.,.,-1,.
'075903102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'075906001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,100,56,91,.,.,-1,.,-1,-1,60,-1,100,100,75,82,.,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,38,100,50,100,42,71,-1,-1,-1,-1,70,100,57,89,63,100,60,90,-1,-1,50,-1,.,.,-1,.
'075908001,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,72,75,68,86,.,.,-1,.,60,57,44,67,67,83,75,89,60,40,40,-1,.,.,.,-1,-1,-1,-1,-1,75,63,60,83,20,0,13,71,-1,-1,-1,-1,77,85,80,94,75,70,62,86,67,80,78,.,-1,-1,-1,.
'075908101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'076903001,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,83,80,.,.,.,.,-1,100,-1,86,100,100,88,80,-1,100,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,100,-1,80,100,100,80,-1,-1,-1,-1,-1,100,100,100,85,100,100,89,79,-1,-1,-1,-1,.,.,.,.
'076903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'076904001,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,58,73,67,70,.,.,.,-1,75,70,64,75,-1,-1,57,75,57,67,58,75,.,.,.,.,.,.,-1,-1,44,73,73,63,-1,43,44,44,-1,60,60,-1,60,83,83,57,60,75,69,69,-1,-1,60,-1,.,.,.,.
'076904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'077901001,-1,20,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,89,49,37,71,-1,-1,-1,-1,85,43,30,66,96,57,50,67,91,49,34,69,.,.,.,.,-1,-1,-1,-1,83,41,26,76,81,26,8,55,60,0,0,0,90,60,55,82,89,55,36,73,91,33,40,64,-1,-1,-1,.
'077901003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'077901004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'077901041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'077901101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'077902001,.,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,41,54,19,68,.,.,.,.,39,54,21,60,50,50,21,70,44,53,18,65,.,.,.,.,.,-1,0,-1,36,55,18,67,25,41,11,36,0,13,7,-1,20,60,29,80,50,62,20,65,11,30,15,80,.,-1,.,.
'077902041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.
'077902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'078901001,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,94,53,40,40,.,.,.,.,100,45,27,-1,100,29,11,-1,86,50,22,-1,.,.,.,.,.,.,.,.,91,67,56,-1,92,38,29,-1,-1,-1,-1,.,100,60,47,-1,92,50,47,-1,-1,60,25,-1,-1,-1,-1,.
'079901001,60,48,35,40,80,83,60,91,75,86,86,86,.,.,.,.,56,58,45,65,49,53,42,61,55,53,40,60,64,59,49,61,56,53,39,59,.,-1,-1,.,43,23,11,22,48,57,42,68,43,38,27,51,21,16,8,22,65,81,70,88,57,62,47,67,50,47,38,54,-1,-1,20,-1
'079901002,64,40,33,34,83,50,71,.,67,43,83,-1,.,.,.,.,64,50,43,55,67,62,50,58,66,48,41,52,73,55,53,51,65,49,40,55,.,-1,-1,-1,42,20,11,32,56,46,35,59,49,29,24,47,22,15,6,33,48,50,48,53,66,49,42,55,55,54,46,57,50,0,8,.
'079901003,61,66,52,74,75,92,79,90,88,93,90,92,.,.,.,-1,69,82,73,88,64,76,71,89,64,71,59,79,77,81,79,86,65,75,61,84,-1,-1,-1,-1,42,38,22,39,64,83,68,90,50,58,43,73,36,44,22,35,74,89,81,90,73,84,74,89,62,77,68,86,71,80,70,-1
'079901004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901009,74,67,60,64,79,89,76,100,94,92,88,95,.,-1,.,-1,75,85,75,90,71,80,64,89,66,72,56,79,81,86,81,91,70,79,69,86,-1,-1,-1,.,62,29,32,46,70,85,68,90,53,61,44,70,32,42,22,46,80,92,83,93,79,88,78,91,66,78,66,89,60,-1,50,-1
'079901010,67,63,53,62,43,82,67,100,74,93,80,92,.,.,.,.,63,83,76,87,54,72,63,81,51,69,61,78,77,89,87,89,58,74,80,84,-1,-1,.,-1,67,41,36,57,50,77,65,86,39,51,44,59,30,28,16,39,72,90,79,91,60,84,79,90,66,82,71,84,100,86,71,-1
'079901041,100,.,.,.,-1,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'079901042,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,98,.,.,.,100,.,.,.,97,.,.,.,98,.,.,.,97,.,.,.,-1,.,.,.,-1,.,.,.,98,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,98,.,.,.,100,.,.,.,.,.,.,.
'079901043,-1,.,.,.,-1,.,.,.,100,.,.,.,.,.,.,.,99,.,.,.,100,.,.,.,92,.,.,.,100,.,.,.,96,.,.,.,.,.,.,.,-1,.,.,.,98,.,.,.,88,.,.,.,-1,.,.,.,100,.,.,.,99,.,.,.,100,.,.,.,.,.,.,.
'079901044,100,.,.,.,100,.,.,.,100,-1,.,.,.,.,.,.,100,-1,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,99,-1,.,.,100,.,.,.,-1,.,.,.,99,.,.,.,99,.,.,.,100,-1,.,.,-1,.,.,.
'079901045,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,98,.,.,.,94,.,.,.,95,.,.,.,98,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,99,.,.,.,100,.,.,.,-1,.,.,.,99,.,.,.,99,.,.,.,98,.,.,.,-1,.,.,.
'079901101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901109,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901112,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901117,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901118,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901127,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901133,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901141,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079901142,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079906001,52,50,24,63,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,60,71,66,87,11,57,42,75,63,65,61,79,66,72,76,88,61,67,61,79,.,-1,.,-1,47,14,5,57,53,69,57,85,50,51,47,72,31,36,17,74,63,74,74,96,61,72,70,88,56,64,56,81,-1,-1,-1,-1
'079906008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079906041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079906042,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,98,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,95,.,.,.,-1,.,.,.,.,.,.,.,96,.,.,.,97,.,.,.,-1,.,.,.,-1,.,.,.
'079906102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079907001,40,53,34,51,55,87,74,88,68,90,78,86,-1,-1,-1,.,50,80,68,82,40,67,60,72,43,67,54,70,54,81,73,80,40,70,54,78,.,.,.,.,25,29,18,21,46,78,64,84,33,52,40,58,14,20,19,44,58,86,77,89,55,84,73,88,37,66,56,64,-1,-1,-1,-1
'079907002,50,38,26,33,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,43,36,28,43,35,26,20,36,43,35,28,42,49,38,30,45,51,44,34,50,.,.,-1,.,36,22,13,24,39,34,26,41,39,29,21,36,20,22,17,11,-1,-1,-1,-1,52,42,34,45,32,26,18,39,20,20,40,-1
'079907004,65,67,58,78,69,92,86,100,88,94,92,95,.,.,.,-1,76,90,87,93,67,74,66,85,63,79,74,90,79,92,91,93,63,85,77,89,-1,-1,-1,-1,50,55,30,69,73,89,83,93,52,59,47,72,24,44,23,48,77,89,87,92,77,92,87,94,75,85,84,88,.,.,.,-1
'079907005,43,47,36,59,38,78,73,100,70,83,77,92,.,.,.,.,50,67,59,88,44,57,50,91,48,58,51,85,50,72,66,87,46,57,49,81,-1,-1,-1,.,30,28,19,42,50,64,53,88,38,47,38,77,30,31,15,68,56,81,73,87,55,75,63,90,39,48,47,80,-1,-1,-1,-1
'079907006,52,54,44,79,50,70,57,77,80,91,90,95,.,.,.,.,54,76,67,87,41,61,51,76,39,58,46,74,58,79,72,86,48,64,55,82,.,.,.,.,41,31,30,73,51,74,63,88,37,46,38,56,28,28,25,49,70,84,74,97,56,79,70,88,48,65,57,82,-1,.,-1,-1
'079907007,40,66,51,71,-1,75,75,100,68,91,84,94,.,.,.,.,55,84,76,93,46,80,74,91,43,71,62,88,60,85,81,94,44,68,58,91,-1,-1,-1,-1,32,47,28,56,51,83,71,93,37,58,46,81,29,48,38,66,62,87,79,96,58,86,79,96,48,79,67,85,.,-1,-1,-1
'079907008,43,42,28,44,50,63,60,50,71,81,71,95,.,.,.,.,44,54,44,67,45,52,44,64,42,45,37,63,49,57,54,72,35,50,38,67,-1,-1,-1,-1,25,13,7,15,39,51,35,61,34,39,27,51,16,20,11,26,80,80,80,-1,46,58,46,68,37,44,40,66,-1,-1,60,-1
'079907010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079907011,35,44,26,52,71,89,53,89,71,81,64,86,-1,-1,-1,.,43,63,45,78,44,66,47,78,41,60,42,75,46,66,54,79,38,54,37,75,.,.,-1,.,22,24,10,34,41,60,37,77,34,45,28,67,18,24,16,39,27,70,44,81,43,65,46,80,43,57,42,73,-1,-1,40,-1
'079907012,26,32,21,36,-1,60,60,-1,-1,40,33,-1,-1,-1,-1,-1,35,41,30,58,33,41,27,64,35,39,29,58,38,43,37,56,35,41,34,43,-1,-1,-1,.,12,13,10,21,32,40,26,60,31,33,22,50,14,23,13,31,-1,-1,-1,.,34,43,29,58,36,38,31,59,-1,-1,-1,.
'079907013,41,49,48,57,50,75,70,84,66,82,79,93,-1,-1,-1,-1,53,78,73,90,50,76,72,90,42,71,59,88,59,78,77,90,42,70,62,83,-1,-1,-1,-1,28,20,29,52,48,78,69,91,31,52,47,73,19,28,17,57,56,83,80,94,56,82,77,93,45,68,63,78,0,70,29,-1
'079907016,40,46,27,43,72,90,87,92,96,97,93,90,.,.,.,.,68,79,67,87,67,74,60,85,48,54,35,71,75,80,76,86,55,61,44,75,.,-1,.,-1,16,22,12,39,62,78,60,88,48,52,35,67,35,32,17,42,81,90,84,96,70,81,69,89,63,70,61,82,-1,60,50,-1
'079907038,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'079907041,100,.,-1,.,-1,.,.,.,99,.,-1,.,.,.,.,.,99,.,-1,.,100,.,.,.,96,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,97,.,-1,.,100,.,.,.,.,.,.,.,100,.,.,.,99,.,-1,.,96,.,.,.,-1,.,.,.
